Time,mq2_GI,mq4_GI,,,,,,,,,,,,
14:20:00,56,88,,,,,,,,,,,,
14:30:00,56,88,,,,,,,,,,,,
14:40:00,56,88,,,,,,,,,,,,
14:50:00,56,88,,,,,,,,,,,,
15:00:00,56,88,,,,,,,,,,,,
15:10:00,56,88,,,,,,,,,,,,
15:20:00,56,88,,,,,,,,,,,,
15:30:00,56,89,,,,,,,,,,,,
15:40:00,57,89,,,,,,,,,,,,
15:50:00,57,89,,,,,,,,,,,,
16:00:00,57,89,,,,,,,,,,,,
16:10:00,57,89,,,,,,,,,,,,
16:20:00,57,89,,,,,,,,,,,,
16:30:00,57,89,,,,,,,,,,,,
16:40:00,57,89,,,,,,,,,,,,
16:50:00,57,89,,,,,,,,,,,,
17:00:00,57,89,,,,,,,,,,,,
17:10:00,57,89,,,,,,,,,,,,
17:20:00,57,89,,,,,,,,,,,,
17:30:00,57,89,,,,,,,,,,,,
17:40:00,57,89,,,,,,,,,,,,
17:50:00,57,89,,,,,,,,,,,,
18:00:00,57,89,,,,,,,,,,,,
18:10:00,57,89,,,,,,,,,,,,
18:20:00,57,90,,,,,,,,,,,,
18:30:00,57,90,,,,,,,,,,,,
18:40:00,57,90,,,,,,,,,,,,
18:50:00,57,90,,,,,,,,,,,,
19:00:00,57,90,,,,,,,,,,,,
19:10:00,57,90,,,,,,,,,,,,
19:20:00,57,90,,,,,,,,,,,,
19:30:00,57,90,,,,,,,,,,,,
19:40:00,57,90,,,,,,,,,,,,
19:50:00,57,90,,,,,,,,,,,,
20:00:00,57,90,,,,,,,,,,,,
20:10:00,57,90,,,,,,,,,,,,
20:20:00,57,90,,,,,,,,,,,,
20:30:00,57,90,,,,,,,,,,,,
20:40:00,57,90,,,,,,,,,,,,
20:50:00,57,90,,,,,,,,,,,,
21:00:00,57,91,,,,,,,,,,,,
21:10:00,57,91,,,,,,,,,,,,
21:20:00,58,91,,,,,,,,,,,,
21:30:00,58,91,,,,,,,,,,,,
21:40:00,58,92,,,,,,,,,,,,
21:50:00,58,92,,,,,,,,,,,,
22:00:00,58,92,,,,,,,,,,,,
22:10:00,58,92,,,,,,,,,,,,
22:20:00,58,92,,,,,,,,,,,,
22:30:00,58,92,,,,,,,,,,,,
22:40:00,58,92,,,,,,,,,,,,
22:50:00,58,92,,,,,,,,,,,,
