Time,mq2_ppm,mq4_ppm
438600000,27,1548
439200000,27,1548
439800000,27,1528
440400000,27,1548
441000000,27,1548
441600000,27,1548
442200000,27,1528
442800000,26,1528
443400000,26,1528
444000000,26,1528
444600000,26,1528
445200000,26,1568
445800000,27,1588
446400000,27,1568
447000000,27,1568
447600000,27,1548
448200000,27,1548
448800000,27,1568
449400000,27,1568
450000000,27,1568
450600000,27,1548
451200000,27,1568
451800000,27,1548
452400000,27,1548
453000000,27,1548
453600000,27,1548
454200000,27,1548
454800000,27,1548
455400000,27,1548
456000000,27,1548
456600000,27,1548
457200000,27,1548
457800000,27,1528
458400000,27,1528
459000000,27,1528
459600000,27,1548
460200000,27,1528
460800000,27,1528
461400000,27,1528
462000000,27,1528
462600000,27,1528
463200000,27,1528
463800000,27,1548
464400000,27,1548
465000000,27,1548
465600000,27,1548
466200000,27,1528
466800000,27,1528
467400000,27,1528
468000000,27,1528
468600000,27,1528
469200000,27,1528
469800000,27,1528
470400000,27,1548
471000000,27,1548
471600000,27,1568
472200000,27,1548
472800000,27,1548
473400000,27,1548
474000000,27,1528
474600000,27,1548
475200000,27,1548
475800000,27,1548
476400000,27,1568
477000000,27,1568
477600000,27,1568
478200000,27,1568
478800000,27,1568
479400000,27,1568
480000000,27,1568
480600000,27,1568
481200000,27,1568
481800000,27,1588
482400000,27,1588
483000000,27,1588
483600000,27,1609
484200000,27,1609
484800000,28,1609
485400000,28,1609
486000000,28,1609
486600000,27,1548
487200000,27,1568
487800000,27,1568
488400000,27,1588
489000000,27,1630
489600000,27,1651
490200000,27,1630
490800000,27,1630
491400000,27,1630
492000000,27,1651
492600000,27,1651
493200000,27,1651
493800000,27,1651
494400000,27,1672
495000000,27,1672
495600000,27,1651
496200000,27,1651
496800000,27,1672
497400000,27,1672
498000000,26,1672
498600000,26,1694
499200000,26,1694
499800000,26,1694
500400000,26,1694
501000000,26,1694
501600000,26,1716
502200000,26,1716
502800000,26,1716
503400000,26,1716
504000000,26,1716
504600000,26,1716
505200000,26,1716
505800000,26,1716
506400000,26,1716
507000000,26,1716
507600000,26,1739
508200000,26,1739
508800000,24,1452
509400000,25,1672
510000000,23,1362
510600000,23,1397
511200000,24,1452
511800000,24,1588
512400000,25,1672
513000000,26,1785
513600000,26,1832
514200000,26,1881
514800000,26,1881
515400000,26,1931
516000000,26,1931
516600000,26,1956
517200000,26,1956
517800000,27,2009
517800000,27,2090
517800000,27,2063
517800000,27,2090
517800000,25,1832
517800000,25,1832
517800000,25,1881
517800000,25,1856
517800000,26,1931
517800000,26,1956
517800000,26,1956
517800000,26,2036
517800000,26,2063
517800000,26,2036
517800000,27,2090
517800000,27,2090
517800000,27,2090
517800000,27,2090
517800000,27,2118
517800000,27,2118
517800000,27,2090
517800000,27,2063
517800000,27,2036
517800000,27,2036
517800000,27,2036
517800000,27,2036
517800000,27,2036
517800000,27,2063
517800000,27,1956
517800000,27,2036
517800000,28,2063
517800000,27,2036
517800000,28,2036
517800000,28,2063
517800000,28,2036
517800000,28,2036
517800000,28,2063
517800000,28,2063
517800000,28,2036
517800000,28,2036
517800000,28,2036
517800000,28,2063
517800000,28,2063
517800000,28,2036
517800000,28,2036
517800000,27,1931
517800000,26,1808
517800000,26,1808
517800000,26,1808
517800000,27,1808
517800000,27,1808
517800000,27,1808
517800000,27,1808
517800000,27,1832
517800000,27,1832
517800000,27,1832
517800000,27,1856
517800000,27,1856
517800000,27,1856
517800000,27,1856
517800000,27,1832
517800000,27,1856
517800000,27,1832
517800000,28,1856
517800000,28,1856
517800000,28,1832
517800000,28,1832
517800000,28,1832
517800000,28,1856
517800000,28,1856
517800000,28,1856
517800000,28,1856
517800000,28,1856
517800000,28,1856
517800000,28,1856
517800000,28,1856
517800000,28,1881
517800000,28,1881
517800000,28,1881
517800000,28,1881
517800000,28,1881
517800000,28,1905
517800000,28,1905
517800000,28,1905
517800000,29,1881
517800000,29,1856
517800000,29,1881
517800000,29,1881
517800000,29,1881
517800000,29,1881
517800000,29,1881
517800000,29,1881
517800000,29,1881
517800000,29,1881
517800000,29,1881
517800000,29,1881
517800000,31,2090
517800000,33,2235
