mq2,mq4,Time
7,9,59:57.6
7,9,00:12.6
7,9,00:27.6
7,9,00:42.6
7,9,00:57.6
7,9,01:12.6
7,9,01:27.6
7,9,01:42.6
8,9,01:57.6
8,9,02:12.6
8,9,02:27.6
8,9,02:42.6
8,9,02:57.6
8,9,03:12.6
8,9,03:27.6
8,9,03:42.6
8,9,03:57.6
8,9,04:12.6
8,9,04:27.6
8,9,04:42.6
8,9,04:57.6
8,9,05:12.6
8,9,05:27.6
8,9,05:42.6
8,9,05:57.6
8,9,06:12.6
8,9,06:27.6
8,9,06:42.6
8,9,06:57.6
8,9,07:12.6
8,9,07:27.6
8,9,07:42.6
8,9,07:57.6
8,9,08:12.6
8,9,08:27.6
8,9,08:42.6
8,9,08:57.6
8,9,09:12.6
8,9,09:27.6
8,9,09:42.6
8,9,09:57.6
8,9,10:12.6
8,9,10:27.6
8,9,10:42.6
8,9,10:57.6
8,9,11:12.6
8,9,11:27.6
8,9,11:42.6
8,9,11:57.6
8,9,12:12.6
8,9,12:27.6
8,9,12:42.6
8,9,12:57.6
8,9,13:12.6
8,9,13:27.6
8,9,13:42.6
8,9,13:57.6
8,9,14:12.6
8,9,14:27.6
8,9,14:42.6
9,9,14:57.6
8,9,15:12.6
9,9,15:27.6
9,9,15:42.6
9,9,15:57.6
9,9,16:12.6
9,9,16:27.6
9,9,16:42.6
9,9,16:57.6
9,9,17:12.6
9,9,17:27.6
9,9,17:42.6
9,9,17:57.6
9,9,18:12.6
9,9,18:27.6
9,9,18:42.6
9,9,18:57.6
9,9,19:12.6
9,9,19:27.6
9,9,19:42.6
9,9,19:57.6
9,9,20:12.6
9,9,20:27.6
9,9,20:42.6
9,9,20:57.6
9,9,21:12.6
9,9,21:27.6
9,9,21:42.6
9,9,21:57.6
9,9,22:12.6
9,9,22:27.6
9,9,22:42.6
9,8,22:57.6
9,9,23:12.6
9,9,23:27.6
9,9,23:42.6
9,8,23:57.6
9,8,24:12.6
9,8,24:27.6
9,8,24:42.6
9,8,24:57.6
9,8,25:12.6
9,8,25:27.6
9,8,25:42.6
9,8,25:57.6
9,8,26:12.6
9,8,26:27.6
9,8,26:42.6
9,8,26:57.6
9,8,27:12.6
9,8,27:27.6
9,8,27:42.6
9,8,27:57.6
9,8,28:12.6
9,8,28:27.6
9,8,28:42.6
9,8,28:57.6
9,8,29:12.6
9,8,29:27.6
9,8,29:42.6
9,8,29:57.6
9,8,30:12.6
9,8,30:27.6
9,8,30:42.6
9,8,30:57.6
9,8,31:12.6
9,8,31:27.6
9,8,31:42.6
9,8,31:57.6
9,8,32:12.6
9,8,32:27.6
10,8,32:42.6
9,8,32:57.6
10,8,33:12.6
10,8,33:27.6
10,8,33:42.6
10,8,33:57.6
10,8,34:12.6
10,8,34:27.6
10,8,34:42.6
10,8,34:57.6
10,8,35:12.6
10,8,35:27.6
10,8,35:42.6
10,8,35:57.6
10,8,36:12.6
10,8,36:27.6
10,8,36:42.6
10,8,36:57.6
10,8,37:12.6
10,8,37:27.6
10,8,37:42.6
10,8,37:57.6
10,8,38:12.6
10,8,38:27.6
10,8,38:42.6
10,8,38:57.6
10,8,39:12.6
10,8,39:27.6
10,8,39:42.6
10,8,39:57.6
10,8,40:12.6
10,8,40:27.6
10,8,40:42.6
10,8,40:57.6
10,8,41:12.6
10,8,41:27.6
10,8,41:42.6
10,8,41:57.6
10,8,42:12.6
10,8,42:27.6
10,8,42:42.6
10,8,42:57.6
11,8,43:12.6
11,8,43:27.6
11,8,43:42.6
11,8,43:57.6
11,8,44:12.6
11,8,44:27.6
11,8,44:42.6
11,8,44:57.6
11,8,45:12.6
11,8,45:27.6
11,8,45:42.6
11,8,45:57.6
11,8,46:12.6
11,8,46:27.6
11,8,46:42.6
11,8,46:57.6
11,8,47:12.6
11,8,47:27.6
11,8,47:42.6
11,8,47:57.6
11,8,48:12.6
11,8,48:27.6
11,8,48:42.6
11,8,48:57.6
11,8,49:12.6
11,8,49:27.6
11,8,49:42.6
11,8,49:57.6
11,8,50:12.6
11,8,50:27.6
11,8,50:42.6
11,7,50:57.6
11,7,51:12.6
11,8,51:27.6
11,7,51:42.6
12,7,51:57.6
12,7,52:12.6
12,7,52:27.6
12,7,52:42.6
12,7,52:57.6
12,7,53:12.6
12,7,53:27.6
12,7,53:42.6
12,7,53:57.6
12,7,54:12.6
12,7,54:27.6
12,7,54:42.6
12,7,54:57.6
12,7,55:12.6
12,7,55:27.6
12,7,55:42.6
12,7,55:57.6
12,7,56:12.6
12,7,56:27.6
12,7,56:42.6
12,7,56:57.6
12,7,57:12.6
12,7,57:27.6
12,7,57:42.6
12,7,57:57.6
12,7,58:12.6
12,7,58:27.6
12,7,58:42.6
12,7,58:57.6
12,7,59:12.6
12,7,59:27.6
12,7,59:42.6
12,7,59:57.6
12,7,00:12.6
12,7,00:27.6
12,7,00:42.6
12,7,00:57.6
12,7,01:12.6
12,7,01:27.6
12,7,01:42.6
13,7,01:57.6
12,7,02:12.6
13,7,02:27.6
12,7,02:42.6
13,7,02:57.6
13,7,03:12.6
13,7,03:27.6
13,7,03:42.6
13,7,03:57.6
13,7,04:12.6
13,7,04:27.6
13,7,04:42.6
13,7,04:57.6
13,7,05:12.6
13,7,05:27.6
13,7,05:42.6
13,7,05:57.6
13,7,06:12.6
13,7,06:27.6
13,7,06:42.6
13,7,06:57.6
13,7,07:12.6
13,7,07:27.6
13,7,07:42.6
13,7,07:57.6
13,7,08:12.6
13,7,08:27.6
13,7,08:42.6
13,7,08:57.6
13,7,09:12.6
13,7,09:27.6
13,7,09:42.6
13,7,09:57.6
13,7,10:12.6
13,7,10:27.6
13,7,10:42.6
13,7,10:57.6
13,7,11:12.6
13,7,11:27.6
13,7,11:42.6
13,7,11:57.6
13,7,12:12.6
13,7,12:27.6
14,7,12:42.6
14,7,12:57.6
14,7,13:12.6
14,7,13:27.6
14,7,13:42.6
14,7,13:57.6
14,7,14:12.6
14,7,14:27.6
14,7,14:42.6
14,7,14:57.6
14,7,15:12.6
14,7,15:27.6
14,7,15:42.6
14,7,15:57.6
14,7,16:12.6
14,7,16:27.6
14,7,16:42.6
14,7,16:57.6
14,7,17:12.6
